,City,Country,City_ID,Date,Lat,Long,Cloudiness,Humidity,Max_Temp,Wind_Speed
0,Airai,TL,1651810,1584324058,-8.93,125.41,97,58,80.28,5.86
1,Kangaatsiaq,GL,3422683,1584324028,68.31,-53.46,100,92,0.99,12.53
2,Jamestown,US,5122534,1584324008,42.1,-79.24,1,39,30.99,4.7
3,Talcahuano,CL,3870282,1584324059,-36.72,-73.12,0,67,60.8,13.87
4,Slavyanka,RU,2016430,1584324059,42.86,131.38,81,41,34.86,4.7
5,Zatoka,UA,687557,1584324059,46.07,30.47,0,63,26.6,6.71
6,Portland,US,5746545,1584324050,45.52,-122.68,20,41,45.0,24.16
7,Bambanglipuro,ID,1650434,1584324059,-7.95,110.28,7,66,85.93,7.96
8,Puerto Ayora,EC,3652764,1584324060,-0.74,-90.35,40,78,80.6,6.93
9,Paamiut,GL,3421193,1584324060,61.99,-49.67,0,59,-4.2,15.32
10,Kumbo,CM,2229748,1584324060,6.2,10.67,92,22,64.02,5.46
11,Kimbe,PG,2093967,1584324060,-5.55,150.14,100,63,86.05,5.32
12,Pandan,PH,1695546,1584324060,14.05,124.17,97,79,79.43,15.75
13,Port Alfred,ZA,964432,1584323986,-33.59,26.89,100,98,62.01,10.76
14,Tonantins,BR,3661894,1584324060,-2.87,-67.8,79,93,75.15,2.68
15,New Norfolk,AU,2155415,1584323925,-42.78,147.06,20,51,69.01,3.36
16,Vagay,RU,1487860,1584324061,57.94,69.02,0,82,23.5,12.28
17,Henties Bay,NA,3356832,1584324061,-22.12,14.28,0,94,62.01,2.71
18,Clyde River,CA,5924351,1584323575,70.47,-68.59,1,67,-22.0,17.22
19,East London,ZA,1006984,1584324061,-33.02,27.91,97,71,69.26,11.86
20,Busselton,AU,2075265,1584324061,-33.65,115.33,91,43,75.0,7.52
21,Kapaa,US,5848280,1584323859,22.08,-159.32,75,74,80.6,10.29
22,Rikitea,PF,4030556,1584323627,-23.12,-134.97,3,79,79.63,12.71
23,West Bay,KY,3580477,1584323952,19.37,-81.42,20,78,78.8,11.41
24,Kapit,MY,1737185,1584324062,2.02,112.93,82,68,83.03,2.57
25,Mataura,NZ,6201424,1584324008,-46.19,168.86,97,74,54.0,11.99
26,Tuktoyaktuk,CA,6170031,1584324062,69.45,-133.04,5,76,-5.8,6.93
27,Cherskiy,RU,2126199,1584324062,68.75,161.3,94,85,8.53,6.58
28,Ushuaia,AR,3833367,1584323627,-54.8,-68.3,40,76,53.6,6.93
29,Koslan,RU,544084,1584324064,63.46,48.9,10,87,14.45,10.8
30,Mount Gambier,AU,2156643,1584323869,-37.83,140.77,0,52,66.2,8.05
31,Albany,US,5106841,1584323922,42.6,-73.97,1,50,32.0,10.29
32,Castro,BR,3466704,1584323917,-24.79,-50.01,13,86,65.79,3.42
33,Cayenne,GF,3382160,1584323905,4.93,-52.33,75,88,77.0,6.62
34,Yellowknife,CA,6185377,1584323320,62.46,-114.35,20,72,14.0,20.8
35,Barcelona,ES,3128760,1584323854,41.39,2.16,40,87,59.0,8.05
36,Hobart,AU,2163355,1584324041,-42.88,147.33,20,51,69.01,3.36
37,Okhotsk,RU,2122605,1584324000,59.38,143.3,21,78,10.83,13.06
38,Puerto Colombia,CO,3671497,1584324010,10.99,-74.95,20,78,78.8,14.99
39,Hermanus,ZA,3366880,1584323920,-34.42,19.23,50,77,64.63,32.01
40,Villa Bruzual,VE,3625346,1584323817,9.33,-69.12,73,54,77.2,14.74
41,Kavieng,PG,2094342,1584323935,-2.57,150.8,100,72,83.88,9.55
42,Amapá,BR,3407762,1584324066,1.0,-52.0,100,99,69.66,1.57
43,Bluff,NZ,2206939,1584323971,-46.6,168.33,67,75,54.0,15.01
44,Carnarvon,AU,2074865,1584323940,-24.87,113.63,40,69,80.6,12.75
45,Ugoofaaru,MV,1337619,1584324066,5.67,73.0,37,74,83.39,8.75
46,Barrow,US,5880054,1584324066,71.29,-156.79,90,85,10.4,18.34
47,Saint-Philippe,RE,935215,1584324066,-21.36,55.77,93,78,78.8,14.99
48,Neuquén,AR,3843123,1584324067,-38.95,-68.06,0,30,71.6,4.7
49,Sept-Îles,CA,6144312,1584324067,50.2,-66.38,90,47,15.8,13.87
50,Vaini,TO,4032243,1584324050,-21.2,-175.2,90,83,84.2,13.87
51,Torri di Quartesolo,IT,3165394,1584324067,45.52,11.61,0,56,45.0,5.82
52,George Town,MY,1735106,1584323874,5.41,100.34,20,70,86.0,4.7
53,Iwanai,JP,2129868,1584324067,42.97,140.51,70,68,30.22,8.32
54,Lamu,KE,189741,1584324067,-2.27,40.9,69,79,83.32,11.12
55,Perelyub,RU,511416,1584324067,51.87,50.37,100,71,26.76,16.33
56,Christchurch,NZ,2192362,1584323985,-43.53,172.63,100,52,68.0,17.22
57,Ukiah,US,5404476,1584324068,39.15,-123.21,1,65,48.99,3.36
58,Hithadhoo,MV,1282256,1584324008,-0.6,73.08,100,62,83.16,5.84
59,Imbituba,BR,3461370,1584323792,-28.24,-48.67,0,64,75.2,6.93
60,Shashi,CN,1795816,1584324068,30.31,112.24,100,64,61.0,4.54
61,Ust-Kuyga,RU,2013921,1584324068,70.02,135.6,87,80,-7.04,13.53
62,Banda Aceh,ID,1215502,1584324068,5.56,95.32,59,64,85.28,6.04
63,Río Gallegos,AR,3838859,1584324068,-51.62,-69.22,100,58,62.96,16.04
64,Fortuna,US,5563839,1584323916,40.6,-124.16,1,65,48.2,12.75
65,Severo-Kuril'sk,RU,2121385,1584323983,50.68,156.12,97,95,24.84,46.73
66,Ribeira Grande,PT,3372707,1584323985,38.52,-28.7,4,79,56.34,9.33
67,Longyearbyen,SJ,2729907,1584324069,78.22,15.64,90,84,1.4,11.41
68,Lorengau,PG,2092164,1584324069,-2.02,147.27,100,72,84.16,6.6
69,Richards Bay,ZA,962367,1584324069,-28.78,32.04,53,79,77.61,26.69
70,Nouakchott,MR,2377450,1584324069,18.09,-15.98,0,52,69.8,17.22
71,São Filipe,CV,3374210,1584324069,14.9,-24.5,14,72,70.61,20.02
72,Vondrozo,MG,1053507,1584324070,-22.82,47.28,0,97,69.08,2.59
73,Laguna,US,5364271,1584324070,38.42,-121.42,90,71,53.6,8.05
74,Hamilton,US,4513583,1584323973,39.18,-84.53,90,70,43.0,4.7
75,Pouébo,NC,2138607,1584324070,-20.4,164.57,79,73,81.39,6.64
76,Xining,CN,1788852,1584324016,36.62,101.77,100,66,30.36,1.68
77,Hong Kong,HK,1819729,1584323960,22.29,114.16,20,64,73.99,19.46
78,Husavik,IS,2629833,1584323929,66.04,-17.34,90,86,30.2,19.46
79,Qaanaaq,GL,3831208,1584324009,77.48,-69.36,100,51,-2.33,6.87
80,Hofn,IS,2630299,1584323805,64.25,-15.21,100,67,41.2,34.27
81,Conde,BR,3385077,1584324071,-7.26,-34.91,100,94,77.0,3.29
82,Gornyy,RU,1506254,1584324065,55.12,83.91,100,92,35.15,26.04
83,Lavrentiya,RU,4031637,1584324037,65.58,-171.0,0,83,25.83,7.25
84,Khatanga,RU,2022572,1584324071,71.97,102.5,19,93,-25.28,11.5
85,Porto-Novo,BJ,2392087,1584324072,6.5,2.6,40,88,82.4,12.75
86,Jieshi,CN,1805857,1584324072,22.81,115.83,15,57,66.99,13.22
87,Cape Town,ZA,3369157,1584323982,-33.93,18.42,20,68,64.99,16.11
88,Punta Arenas,CL,3874787,1584323845,-53.15,-70.92,75,76,57.2,18.34
89,Hokitika,NZ,2206894,1584324072,-42.72,170.97,0,74,61.57,14.85
90,Dąbrowa Górnicza,PL,3100796,1584324073,50.32,19.24,12,54,32.0,6.93
91,Hervey Bay,AU,2146219,1584324073,-25.3,152.85,75,50,78.8,17.22
92,Khovd,MN,1516048,1584324073,48.01,91.64,3,20,35.8,3.71
93,Cururupu,BR,3401148,1584323960,-1.83,-44.87,100,99,73.63,3.15
94,Comodoro Rivadavia,AR,3860443,1584324001,-45.87,-67.5,81,63,62.6,3.36
95,Dikson,RU,1507390,1584324073,73.51,80.55,100,100,-14.04,8.28
96,Kyzyl-Suu,KG,1527497,1584324073,42.34,78.0,0,49,35.71,3.91
97,Rocha,UY,3440777,1584324008,-34.48,-54.33,26,91,53.87,2.37
98,Cabo San Lucas,MX,3985710,1584324013,22.89,-109.91,75,68,71.01,8.25
99,Provideniya,RU,4031574,1584324074,64.38,-173.3,90,92,24.8,8.95
100,Chokurdakh,RU,2126123,1584324012,70.63,147.92,0,87,-9.85,5.7
101,San Antonio,US,4726206,1584323936,29.42,-98.49,90,72,71.01,6.93
102,Pevek,RU,2122090,1584323982,69.7,170.31,0,82,7.54,12.26
103,Bengkulu,ID,1649150,1584323980,-3.8,102.27,74,58,88.81,1.43
104,Petropavlovsk-Kamchatskiy,RU,2122104,1584324074,53.05,158.65,90,100,33.8,20.13
105,Esperance,AU,2071860,1584324075,-33.87,121.9,40,73,73.4,6.93
106,Chokwé,MZ,1048364,1584324075,-24.53,32.98,19,92,73.53,7.02
107,Kunshan,CN,1785623,1584324075,31.38,120.95,0,35,57.2,8.95
108,Ponta do Sol,PT,2264557,1584323917,32.67,-17.1,40,67,62.6,8.05
109,Olupona,NG,2326302,1584324075,7.6,4.18,0,89,76.78,3.2
110,Vredendal,ZA,3359736,1584324075,-31.67,18.5,0,62,64.02,12.44
111,Saint Paul Harbor,US,5866583,1584323993,57.79,-152.41,40,64,39.2,5.82
112,Kulhudhuffushi,MV,1337613,1584324076,6.62,73.07,79,74,82.99,5.57
113,San Cristobal,VE,3628473,1584324076,7.77,-72.22,20,65,78.8,4.7
114,Kirovsk,UA,705809,1584324076,48.64,38.64,0,62,27.3,9.01
115,Vicuña,CL,3868308,1584324076,-30.03,-70.71,90,87,60.8,3.36
116,Butaritari,KI,2110227,1584324010,3.07,172.79,88,78,84.04,13.04
117,Atuona,PF,4020109,1584323925,-9.8,-139.03,0,65,82.2,8.75
118,Rincon,US,4218882,1584323898,32.3,-81.24,20,88,69.8,18.34
119,Egvekinot,RU,4031742,1584324077,66.32,-179.17,99,96,11.19,3.47
120,Kahului,US,5847411,1584323937,20.89,-156.47,40,61,82.4,12.75
121,Solnechnyy,RU,2016307,1584324077,50.72,136.63,65,88,16.5,5.48
122,Avarua,CK,4035715,1584323575,-21.21,-159.78,100,79,84.2,6.93
123,Yamada,JP,2110560,1584324077,39.47,141.95,62,69,43.77,8.01
124,Mahébourg,MU,934322,1584324038,-20.41,57.7,40,94,73.99,3.36
125,Duluth,US,5024719,1584324077,46.78,-92.11,75,80,32.0,17.22
126,Constitución,CL,3893726,1584324012,-35.33,-72.42,0,80,53.01,5.91
127,Caxito,AO,2242001,1584324078,-8.58,13.66,75,83,80.6,3.36
128,Canchungo,GW,2373951,1584324078,12.07,-16.03,51,78,75.2,4.7
129,Mar del Plata,AR,3430863,1584324033,-38.0,-57.56,75,87,60.01,3.36
130,Laas,IT,3175096,1584324027,46.62,10.7,5,85,32.0,1.12
131,Auki,SB,2109701,1584323987,-8.77,160.7,100,74,84.18,13.15
132,Prince Rupert,CA,6113406,1584324078,54.32,-130.32,1,48,44.6,3.36
133,Abu Samrah,SY,172515,1584324078,35.3,37.18,2,86,51.85,4.85
134,Pisco,PE,3932145,1584324079,-13.7,-76.22,20,83,73.4,12.75
135,Upernavik,GL,3418910,1584323927,72.79,-56.15,0,78,-22.16,6.15
136,Iqaluit,CA,5983720,1584324079,63.75,-68.51,90,77,-2.0,4.7
137,Te Anau,NZ,2181625,1584324079,-45.42,167.72,98,72,49.69,9.01
138,Saldanha,ZA,3361934,1584324050,-33.01,17.94,99,63,62.6,9.17
139,Kampong Chhnang,KH,1831166,1584324079,12.17,104.55,0,48,88.47,6.42
140,Rawson,AR,3839307,1584323944,-43.3,-65.1,79,66,64.27,20.18
141,Kushima,JP,1895695,1584324080,31.46,131.23,20,39,51.8,11.41
142,Nikolskoye,RU,546105,1584323932,59.7,30.79,40,59,33.8,8.95
143,Panacan,PH,1695751,1584324080,9.25,118.41,20,62,86.0,11.41
144,Gundorovskiy,RU,557984,1584324080,46.78,41.9,44,48,27.82,5.48
145,Saint Anthony,US,5044290,1584324080,45.02,-93.22,75,59,37.0,5.82
146,Boca do Acre,BR,3664956,1584324080,-8.75,-67.4,100,93,76.5,1.77
147,Yangi Marg`ilon,UZ,1513491,1584324080,40.43,71.72,100,31,50.0,9.17
148,Båtsfjord,NO,780717,1584324035,70.63,29.72,100,69,12.94,1.79
149,Oddur,SO,49747,1584324081,4.12,43.89,13,95,70.2,11.88
150,Zhiletovo,RU,463053,1584324081,54.69,36.02,0,79,21.2,8.95
151,Batemans Bay,AU,2176639,1584324081,-35.72,150.18,57,66,69.01,1.99
152,Danville,US,4755280,1584323932,36.59,-79.39,90,70,48.0,4.7
153,Sendai,JP,2111149,1584324081,38.27,140.87,75,58,46.99,9.17
154,Tuatapere,NZ,2180815,1584323949,-46.13,167.68,78,75,54.0,15.01
155,Remanso,BR,3408064,1584324082,-9.62,-42.08,100,75,76.35,3.74
156,Dunda,TZ,160141,1584324082,-8.12,34.25,100,96,64.4,2.77
157,Bethel,US,5282297,1584323993,41.37,-73.41,1,28,45.0,6.93
158,Benalla,AU,2176225,1584324082,-36.55,145.98,0,40,77.0,4.7
159,Varginha,BR,3445487,1584324051,-21.55,-45.43,91,94,65.55,3.69
160,Kathmandu,NP,1283240,1584324082,27.72,85.32,20,81,48.2,3.36
161,Jojoima,SL,2408399,1584324082,7.88,-10.79,86,92,74.95,0.92
162,Katsuura,JP,2112309,1584324023,35.13,140.3,75,57,55.99,10.29
163,Hilo,US,5855927,1584323922,19.73,-155.09,75,65,80.6,13.87
164,Tasiilaq,GL,3424607,1584324083,65.61,-37.64,100,50,8.6,19.46
165,Mateare,NI,3617697,1584324083,12.24,-86.43,20,58,82.4,6.93
166,Ilulissat,GL,3423146,1584324083,69.22,-51.1,93,47,-9.4,10.29
167,Sinnamary,GF,3380290,1584324083,5.38,-52.95,75,77,79.59,16.22
168,Vestmannaeyjar,IS,3412093,1584324083,63.44,-20.27,100,93,38.98,53.06
169,Waddān,LY,2209055,1584324084,29.16,16.14,0,64,57.74,6.51
170,Vega de Alatorre,MX,3514843,1584324084,20.03,-96.63,3,90,75.16,0.92
171,Barabai,ID,1650064,1584323831,-2.58,115.38,32,64,86.88,4.9
172,Thompson,CA,6165406,1584323850,55.74,-97.86,90,78,15.8,10.29
173,Narsaq,GL,3421719,1584323897,60.92,-46.05,100,53,21.2,3.36
174,Ingham,US,4997130,1584324037,42.6,-84.38,1,74,36.0,6.93
175,Caravelas,BR,3466980,1584324072,-17.71,-39.25,100,80,80.2,7.7
176,Pangnirtung,CA,6096551,1584324035,66.15,-65.71,100,91,-19.59,7.7
177,Geraldton,AU,2070998,1584323933,-28.77,114.6,75,69,75.2,6.93
178,Talnakh,RU,1490256,1584324018,69.49,88.4,75,83,-13.0,11.18
179,Mgachi,RU,2123292,1584324085,51.05,142.27,91,77,13.62,8.52
180,Vardø,NO,777019,1584324085,70.37,31.11,100,57,26.46,5.1
181,Rizhao,CN,1797132,1584324004,35.43,119.46,100,54,47.57,12.93
182,Tocopilla,CL,3869716,1584324054,-22.09,-70.2,0,53,58.78,2.62
183,Faya,SA,110690,1584324085,18.39,42.45,16,87,57.2,6.93
184,Antibes,FR,3037456,1584324003,43.56,7.13,0,66,55.0,9.17
185,Bredasdorp,ZA,1015776,1584323976,-34.53,20.04,76,68,66.2,13.87
186,Beloha,MG,1067565,1584323932,-25.17,45.05,51,97,70.34,8.3
187,Sovetskiy,RU,1491230,1584324086,61.36,63.58,10,76,9.09,5.73
188,Aklavik,CA,5882953,1584323845,68.22,-135.01,20,65,5.0,9.42
189,Fare,PF,4034496,1584324037,-16.7,-151.02,0,68,83.52,8.88
190,Taywarah,AF,1122464,1584324086,33.35,64.42,100,75,34.29,7.2
191,Kaitangata,NZ,2208248,1584324087,-46.28,169.85,100,72,55.99,3.0
192,Salalah,OM,286621,1584324087,17.02,54.09,20,69,75.2,4.7
193,Dukat,RU,2125906,1584324087,62.55,155.55,100,90,3.76,5.61
194,Amga,RU,2027786,1584324087,60.9,131.96,97,88,9.39,4.16
195,Tambovka,RU,2015608,1584324087,50.1,128.05,0,29,24.8,4.47
196,Acaraú,BR,3408368,1584324087,-2.89,-40.12,100,97,75.02,4.07
197,Morón,AR,3430545,1584324087,-34.65,-58.62,0,77,69.01,6.93
198,San Quintín,MX,3984997,1584324003,30.48,-115.95,0,77,59.22,12.15
199,San Patricio,MX,3985168,1584324088,19.22,-104.7,75,74,82.4,9.17
200,Banjarmasin,ID,1650213,1584324088,-3.32,114.59,27,58,88.47,1.81
201,Alofi,NU,4036284,1584324015,-19.06,-169.92,100,79,86.0,8.05
202,Skegness,GB,2637762,1584324088,53.14,0.34,0,93,43.0,8.05
203,Dingle,PH,1714733,1584324088,11.0,122.67,0,56,84.79,11.03
204,Half Moon Bay,US,5354943,1584324038,37.46,-122.43,75,61,52.0,5.82
205,Mazamari,PE,3935102,1584324089,-11.33,-74.53,70,86,62.87,4.14
206,Standish,US,5011020,1584324089,43.98,-83.96,1,58,28.99,10.29
207,Along,IN,1278969,1584323869,28.17,94.77,100,78,65.64,2.01
208,Hasaki,JP,2112802,1584324012,35.73,140.83,40,57,55.0,6.93
209,Presidencia Roque Sáenz Peña,AR,3840300,1584324089,-26.79,-60.44,64,95,71.33,4.83
210,Souillac,MU,933995,1584323949,-20.52,57.52,40,94,73.99,3.36
211,Bathsheba,BB,3374083,1584324089,13.22,-59.52,40,74,78.8,9.17
212,Isangel,VU,2136825,1584323919,-19.55,169.27,90,84,86.0,23.04
213,Yatou,CN,1786855,1584324090,37.15,122.38,17,46,38.68,11.05
214,Leningradskiy,RU,2123814,1584324090,69.38,178.42,0,73,13.6,4.23
215,Yulara,AU,6355222,1584324013,-25.24,130.99,0,9,84.2,8.05
216,Pringsewu,ID,1630639,1584324090,-5.36,104.97,17,69,84.25,4.92
217,Ulaangom,MN,1515029,1584323949,49.98,92.07,100,86,11.19,3.09
218,Quatre Cocos,MU,1106643,1584324090,-20.21,57.76,40,94,73.99,3.36
219,Bilibino,RU,2126682,1584324016,68.05,166.44,66,82,4.89,3.49
220,Santiago de Cali,CO,3687925,1584323934,3.44,-76.52,40,69,77.0,11.41
221,Sompeta,IN,1255816,1584324091,18.93,84.6,0,55,81.81,3.13
222,Omboué,GA,2396853,1584324091,-1.57,9.26,92,95,74.73,2.01
223,Mokhsogollokh,RU,2019867,1584324091,61.47,128.92,94,95,8.74,5.37
224,Megion,RU,1499053,1584324091,61.03,76.11,90,100,28.4,15.66
225,Mount Isa,AU,2065594,1584324091,-20.73,139.5,39,25,89.6,6.93
226,Honghu,CN,1789137,1584324092,29.82,113.46,92,56,62.56,4.7
227,Taltal,CL,3870243,1584324033,-25.4,-70.48,0,89,57.81,3.4
228,Al Bardīyah,LY,80509,1584324092,31.76,25.09,0,76,60.98,1.23
229,Saint George,US,5546220,1584323950,37.1,-113.58,1,51,62.6,11.41
230,Vanimo,PG,2084442,1584324092,-2.67,141.3,100,89,76.68,6.42
231,Arraial do Cabo,BR,3471451,1584324032,-22.97,-42.03,0,83,77.9,26.57
232,Yaviza,PA,3699980,1584324092,8.15,-77.69,24,91,70.25,2.89
233,Port-Gentil,GA,2396518,1584324038,-0.72,8.78,100,79,82.35,7.99
234,Umba,RU,479071,1584324093,66.69,34.34,100,97,31.93,19.33
235,Margate,GB,2643044,1584323917,51.38,1.39,18,93,46.99,5.82
236,Klyuchi,RU,1503153,1584324093,52.27,79.17,100,95,34.83,12.12
237,Emerald,AU,2167426,1584324006,-23.53,148.17,0,47,82.0,12.75
238,Honolulu,US,5856195,1584324074,21.31,-157.86,90,83,80.6,6.93
239,Ha Giang,VN,1581349,1584324093,22.83,104.98,100,88,64.29,4.07
240,Ţaga,RO,665628,1584324094,46.95,24.05,0,79,24.8,3.36
241,Berlevåg,NO,780687,1584324025,70.86,29.09,100,64,29.03,11.18
242,Bose,IT,6457397,1584324094,45.46,8.01,75,75,48.99,2.24
243,Vao,NC,2137773,1584324094,-22.67,167.48,10,72,81.21,28.14
244,Grand Gaube,MU,934479,1584323972,-20.01,57.66,40,94,73.99,3.36
245,Kandrian,PG,2094746,1584324094,-6.22,149.55,100,55,88.59,8.25
246,Alyangula,AU,2079582,1584324094,-13.85,136.42,5,43,91.4,6.93
247,Saint-Pierre,RE,935214,1584324019,-21.34,55.48,13,78,78.8,14.99
248,Kruisfontein,ZA,986717,1584324012,-34.0,24.73,100,88,60.33,10.02
249,Sarkand,KZ,1519691,1584324095,45.41,79.92,99,41,44.87,5.28
250,Cullinan,ZA,1012413,1584324095,-25.67,28.52,0,88,66.99,6.93
251,Chui,UY,3443061,1584323575,-33.7,-53.46,99,74,61.84,4.61
252,Saskylakh,RU,2017155,1584324095,71.92,114.08,100,95,-12.32,20.71
253,Port-Cartier,CA,6111696,1584324095,50.03,-66.87,90,47,15.8,13.87
254,Makakilo City,US,5850554,1584323989,21.35,-158.09,90,83,80.6,6.93
255,Rāyadrug,IN,1258290,1584324096,14.7,76.87,29,53,79.36,8.1
256,Roebourne,AU,2062276,1584324096,-20.78,117.13,0,28,97.88,3.91
257,Kharp,RU,1503726,1584324096,66.8,65.81,100,86,-5.98,3.15
258,Kavaratti,IN,1267390,1584324042,10.57,72.64,0,68,82.6,5.5
259,Ihosy,MG,1064275,1584324096,-22.4,46.12,47,97,61.68,6.69
260,Ambilobe,MG,1082243,1584324096,-13.2,49.05,100,90,77.67,3.62
261,Sungai Penuh,ID,1625929,1584324096,-2.08,101.38,62,68,75.18,3.15
262,Kiryat Gat,IL,293842,1584324097,31.61,34.76,37,93,57.99,3.36
263,Padang,ID,1633419,1584324097,-0.95,100.35,25,56,84.29,1.95
264,Asău,RO,686090,1584323978,46.43,26.4,0,73,23.0,2.17
265,Muslyumovo,RU,524183,1584324097,55.3,53.19,100,98,31.78,13.69
266,Yinchuan,CN,1786657,1584324097,38.47,106.27,100,13,51.3,3.87
267,Ustka,PL,3082756,1584324097,54.58,16.86,100,57,38.08,16.11
268,Bom Jesus,BR,3405304,1584324046,-9.07,-44.36,100,91,73.2,2.37
269,Kudahuvadhoo,MV,1337607,1584324097,2.67,72.89,0,65,83.77,6.26
270,Aykhal,RU,2027296,1584323941,66.0,111.5,90,92,23.0,8.95
271,Sémbé,CG,2255304,1584324098,1.65,14.58,57,80,72.52,3.98
272,Kirakira,SB,2178753,1584324098,-10.45,161.92,100,75,82.31,6.67
273,Nizwá,OM,286987,1584324007,22.93,57.53,0,53,59.68,1.77
274,Philadelphia,US,4560349,1584323934,39.95,-75.16,1,30,46.4,4.7
275,Kollam,IN,1259091,1584324099,8.88,76.6,20,88,78.8,3.36
276,Chapais,CA,5919850,1584324021,49.78,-74.85,1,76,-7.6,0.89
277,Samarai,PG,2132606,1584324099,-10.62,150.67,2,51,90.34,3.89
278,Kumul,CN,1529484,1584324037,42.8,93.45,0,18,47.59,3.09
279,Muscatine,US,4868410,1584324099,41.47,-91.13,90,69,36.0,9.17
280,Atasū,KZ,1526041,1584324099,48.68,71.64,100,76,36.52,3.06
